Pos : 1,Iter : 1,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57
1,851.25,11.35

Pos : 1,Iter : 2,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57

Pos : 1,Iter : 3,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57

Pos : 1,Iter : 1,Collisions: 0
agent_id,Distance,Time
0,230.0,3.07

Pos : 1,Iter : 2,Collisions: 0
agent_id,Distance,Time
0,230.0,3.07

Pos : 1,Iter : 1,Collisions: 17
agent_id,Distance,Time
28,356.54,5.87
29,257.02,3.88
30,391.27,5.98
31,491.25,6.55
32,1070.99,14.75
33,1008.43,19.17
34,491.26,8.52
35,1032.88,18.73
36,518.3,7.07
37,703.5,9.92
38,1005.81,16.2
39,577.35,7.9
40,1067.74,14.28
41,569.49,9.23
42,331.92,4.73
43,847.22,15.9
44,793.64,10.8
45,891.35,11.6
46,783.01,10.22
47,658.61,10.55
48,1106.91,16.48
49,1062.45,17.08
50,719.28,15.27

Pos : 1,Iter : 6,Collisions: 0
agent_id,Distance,Time
0,883.77,12.97
1,900.85,12.4
2,960.38,14.0
3,1040.11,18.57
4,1311.54,17.87
5,866.39,14.57
6,1040.94,16.03
7,1086.25,14.48
8,443.94,6.7
9,599.81,7.5
10,300.27,6.45
11,913.89,14.53
12,40.28,0.48
13,774.5,14.37
14,764.67,10.65
15,1210.04,17.75
16,1082.21,14.58
17,935.73,11.62
18,840.71,16.93
19,415.0,5.53
20,698.2,11.03
21,1021.96,13.85
22,824.51,14.22
23,1000.0,13.33
24,836.9,13.92
25,902.43,14.82
26,586.73,8.28
27,830.87,12.88
28,357.02,5.08
29,257.02,3.88
30,391.27,5.98
31,491.25,6.55
32,969.55,12.12
33,1007.49,19.13
34,490.41,8.78
35,1032.37,18.7
36,518.3,7.07
37,703.5,9.92
38,1006.2,16.2
39,577.24,7.38
40,1066.99,13.78
41,569.49,9.23
42,331.92,4.73
43,846.67,12.63
44,793.64,10.8
45,891.59,13.9
46,782.8,10.38
47,658.45,11.48
48,1104.99,17.58
49,791.43,11.33
50,719.11,15.28

Pos : 1,Iter : 7,Collisions: 9
agent_id,Distance,Time
0,883.77,12.97
1,900.85,12.4
2,959.79,19.17
3,1041.18,18.67
4,1312.5,17.5
5,1362.32,26.72
6,1040.38,16.1
7,1086.25,14.48
8,443.94,6.7
9,599.59,7.5
10,300.07,6.45
11,912.15,14.95
12,40.28,0.48
13,775.06,19.02
14,786.62,16.08
15,1209.73,24.02
16,1082.5,14.43
17,935.73,11.62
18,1121.03,26.8
19,415.0,5.53
